"ID","errors"
"5f4e7311fe19f004679bd5c0","6"
"61006b0f1f3bfddb6b4c5d55","4"
"590d0c9c1211f9000142af16","9"
"63e548d24319702eba4fc949","0"
"61071a16a16c59f3d4cdb312","0"
"56435b83942576000a66eb5d","4"
"614ee4370d85f20de1b9548f","12"
"63f793ffba7e890a6efd936e","0"
"5c5db893b40f3800011084b4","0"
"5c52016a3146f80001d47b26","0"
"63ec351e54d94aea80599640","7"
"5d2f3becd8c144000187438c","5"
"5ecc6fb87c7c7646490f3cf8","0"
"57af9cdda169b50001a434e3","4"
"6138c06bd7d7f2b7720e7a27","11"
"62e12fbfcfefe85c35468bff","0"
"5dd3f4045686c13de81c0b20","0"
"5a0efb83ab721b0001ef8509","4"
"632e9aa62793c18a857aece4","4"
"62b46cafda63e83d14eb4ec5","8"
"5e772838f7b5de2892c7ddf3","6"
"5e2c9026f4a3052be159c494","0"
"5ca6daaed928190016013365","2"
"62bc3401dc67c7598dbba4a6","1"
"5f3847dff97940117558fe41","1"
"5e64ef1a247a9d2561f47509","5"
"60ddc7abdf6661b9c294691f","11"
"581bd344930a280001062c90","2"
"63f82e311d2a2c2002be81f4","1"
"63d7d4e2ebf6c98c92c2a7f8","8"
"580145ebf35f130001c36157","3"
"62ddd61a0d34cd54cc24da0e","1"
"615081c7ccbaea1db00d8e0c","0"
"601b9077694f034f0092dd8f","3"
"5bf4afe0b8e9f800014c9c0b","1"
"589a46af57995d0001a8a03a","4"
"6172b85dcc19bffb22604f1b","7"
"5d548912e1c7130018e019dc","1"
"5f60d14a4b540f04a9473cb7","0"
"63d8518247f4eb60f36dd960","5"
"634856da5284e75ca6f56756","4"
"5d38f983242a6f000156bbc1","0"
"640efe279750dc59ba3e9fb9","7"
"5fb16308dc5973607fa3041c","9"
"5f6f44e9451a3b0836b5d32c","0"
"5ec67c1f9d0f0906b783865f","0"
"632883da1f489d46286bde88","13"
"60db3b18bb1cd76fd466da0a","11"
"611291090e626fdfde536f38","0"
"62c7364890b6ce8f9770a531","0"
"5fd7f08920e71c0f734ee097","0"
"5dceebbcc12884034547ae4d","2"
"6102c843811b2ec9d92767ad","1"
"5d9ae3ff9d2a700014869bcb","0"
"594c1e5a9160cb00011d6474","0"
"5ed2bb7a67d51b24b2ac4037","0"
"5e3040a2d1a553000cc9147b","11"
"62e151e072a7512b2a596883","1"
"6267ec348d99cc16e7beb7f7","0"
"639b3d670be4a9daf302f881","6"
"636212999d9d4a04989c95e9","11"
"58e558cc728bea0001bbda24","3"
"5d86d05f9854a60019240621","12"
"614e3f7def73ee04e730819e","1"
"60f98abd446a8ee5ed91a8cd","10"
"62c0ccde4bd16c7f96a2959f","2"
"5d2df745da13f60018d14b64","1"
"5ce7b20479642d00197682ea","0"
"6150b927614a4f154f311f9d","13"
"5c1a4d7d1aea120001fdd685","3"
"5baff18baf6e8c000116be28","0"
"5f5e401d77501a6b82743d56","1"
"6155b9c45f96867d9d9631fd","3"
"5becfeed4f191100013b46db","6"
"5f63a30a09bd340c84c6688d","5"
"5f2a856a87f6262b2f345c92","0"
"60ffa146784103f75aadb045","12"
"62e185484154c451882a8a3d","2"
"5ce158b01d1060001a810a2d","3"
"5ec75df0d799ae1c11a8115c","1"
"5aa637861eda41000136d5d2","5"
"614e049f538645ead4ff4d49","0"
"62d9e46fded6a6209a518499","0"
"6102d892986a0f83785e2470","0"
"62ab399e15b98baaf3099d60","1"
"5f8737c71a44ac11b9481ab8","1"
"6155e0bb17662cfd9293bfd5","0"
"6128fd492700069e594016c9","1"
"59ff85cb7542890001aa60f1","7"
"61549a2caa92d84f392000e9","6"
"5e7227c4e9253c1509f76f96","1"
"5e935de580280569a374fa97","1"
"614e2446523bb49af662fb62","0"
"5d4b265b72db9d0015e8aac6","2"
"5a381de00006450001bf2691","0"
"5dd446ab87c1fd43fbb49aa1","11"
"607778a26ff3de83125f50c5","5"
"615d051e2366aeb051acb734","3"
"627426f35bbef15c65add1cd","0"
"6172b8bcb0ca871db44b71c9","8"
"630386f64c5bbd56ab1c3b0f","1"
"5d9be88c195db300128d652a","11"
"63d418d4229ed6c0712ce5bb","5"
"592621a771d4fe00012ce948","8"
"5a8b3fa3b093f80001a80576","3"
"6245c8c532cdc22633ecbf3f","10"
"6294e10a4c08ea03e58e177c","0"
"5ba596467c0ebe0001269842","4"
"6038743a95e000257b4fefdd","0"
